epoch,kfz_h val_MAE,kfz_h val_RMSE,lr-Adam,step,sv_h val_MAE,sv_h val_RMSE,train_loss_epoch,train_loss_step,v_kfz val_MAE,v_kfz val_RMSE,val_loss
,,,0.003,0,,,,,,,
0,,,,19,,,,317.4074401855469,,,
0,,,,39,,,,249.8013153076172,,,
0,,,,59,,,,271.0872802734375,,,
0,,,,79,,,,212.22329711914062,,,
0,,,,99,,,,218.55006408691406,,,
0,,,,119,,,,191.73236083984375,,,
0,,,,139,,,,189.84500122070312,,,
0,,,,159,,,,197.02455139160156,,,
0,,,,179,,,,176.089599609375,,,
0,,,,199,,,,164.75149536132812,,,
0,,,,219,,,,159.87271118164062,,,
0,,,,239,,,,165.087890625,,,
0,,,,259,,,,151.91819763183594,,,
0,,,,279,,,,152.14541625976562,,,
0,,,,299,,,,169.4056854248047,,,
0,,,,319,,,,161.24673461914062,,,
0,,,,339,,,,148.036376953125,,,
0,,,,359,,,,146.0435791015625,,,
0,,,,379,,,,138.08932495117188,,,
0,,,,399,,,,129.24671936035156,,,
0,,,,419,,,,156.18194580078125,,,
0,,,,439,,,,125.66080474853516,,,
0,,,,459,,,,131.11944580078125,,,
0,,,,479,,,,121.48422241210938,,,
0,,,,499,,,,110.86378479003906,,,
0,,,,519,,,,114.34404754638672,,,
0,,,,539,,,,155.99452209472656,,,
0,,,,559,,,,117.9920654296875,,,
0,,,,579,,,,143.60507202148438,,,
0,,,,599,,,,119.48088073730469,,,
0,,,,619,,,,133.1726531982422,,,
0,,,,639,,,,116.04714965820312,,,
0,,,,659,,,,115.142822265625,,,
0,,,,679,,,,105.72062683105469,,,
0,,,,699,,,,116.3992691040039,,,
0,,,,719,,,,115.32975006103516,,,
0,,,,739,,,,122.01438903808594,,,
0,,,,759,,,,112.6570816040039,,,
0,,,,779,,,,128.29403686523438,,,
0,,,,799,,,,110.29757690429688,,,
0,164.66302490234375,234.10523986816406,,812,32.29220962524414,47.7619743347168,,,6.262998104095459,9.567109107971191,127.95348358154297
0,,,,812,,,157.28273010253906,,,,
,,,0.003,813,,,,,,,
1,,,,819,,,,131.5730438232422,,,
1,,,,839,,,,108.7184829711914,,,
1,,,,859,,,,125.68248748779297,,,
1,,,,879,,,,106.01348114013672,,,
1,,,,899,,,,107.76468658447266,,,
1,,,,919,,,,108.31632232666016,,,
1,,,,939,,,,119.93782043457031,,,
1,,,,959,,,,104.75948333740234,,,
1,,,,979,,,,114.16326904296875,,,
1,,,,999,,,,110.1414794921875,,,
1,,,,1019,,,,112.11368560791016,,,
1,,,,1039,,,,113.47772979736328,,,
1,,,,1059,,,,108.01273345947266,,,
1,,,,1079,,,,107.06492614746094,,,
1,,,,1099,,,,126.31028747558594,,,
1,,,,1119,,,,109.20297241210938,,,
1,,,,1139,,,,98.83426666259766,,,
1,,,,1159,,,,109.60041809082031,,,
1,,,,1179,,,,101.06489562988281,,,
1,,,,1199,,,,103.30699157714844,,,
1,,,,1219,,,,102.43817901611328,,,
1,,,,1239,,,,106.9427719116211,,,
1,,,,1259,,,,107.0741958618164,,,
1,,,,1279,,,,102.23381042480469,,,
1,,,,1299,,,,104.69482421875,,,
1,,,,1319,,,,97.93407440185547,,,
1,,,,1339,,,,105.69209289550781,,,
1,,,,1359,,,,101.13446807861328,,,
1,,,,1379,,,,123.24528503417969,,,
1,,,,1399,,,,96.55964660644531,,,
1,,,,1419,,,,98.57798767089844,,,
1,,,,1439,,,,102.98390197753906,,,
1,,,,1459,,,,106.66622924804688,,,
1,,,,1479,,,,102.27055358886719,,,
1,,,,1499,,,,91.74907684326172,,,
1,,,,1519,,,,106.27864837646484,,,
1,,,,1539,,,,97.16641998291016,,,
1,,,,1559,,,,93.2076644897461,,,
1,,,,1579,,,,101.57027435302734,,,
1,,,,1599,,,,92.17901611328125,,,
1,,,,1619,,,,92.67794036865234,,,
1,155.54931640625,234.88848876953125,,1625,31.37582015991211,46.74666976928711,,,6.074123382568359,9.233917236328125,127.68350982666016
1,,,,1625,,,105.87696075439453,,,,
,,,0.003,1626,,,,,,,
